Surface,Speed,Spin,Strategy,Risk Factor
Clay,Slower,Topspin,Tactical,Less Risk
Hard,Semi-fast,Flat,Mixture,Higher Risk
Grass,Very Fast,Slice,Serve & Volley,Higher Risk
