"","name","mean_win_rate","mean_fs_win_rate","mean_sec_srv_rate","mean_sec_win_rate","mean_ace_rate","mean_pts_min","mean_bp_faced_rate","mean_bp_att_rate","mean_bp_save_rate","mean_age","mean_df_rate","hand","mean_rank","mean_svpt"
"1","Adrian Mannarino",0.5,0.705452984113353,0.403933130393012,0.520900321543408,0.0715756951596292,1.39550887359652,0.0831616889804325,0.0847723704866562,0.594427244582043,30.9827831306212,0.029351184346035,0,51.5,74.6923076923077
"2","Albert Ramos",0.555555555555556,0.686080132176786,0.365641069941553,0.532677442023893,0.0400624349635796,1.35997863628271,0.0866285119667013,0.0895915678524374,0.633633633633634,31.3530559991889,0.0254942767950052,0,77.8703703703704,71.1851851851852
"3","Alex De Minaur",0.654545454545455,0.74017550553224,0.384855566983239,0.550847457627119,0.0498478820500819,1.41516835567179,0.0624853732740463,0.0839224629418472,0.599250936329588,20.3508431335855,0.0315937280599111,1,28.6181818181818,77.6909090909091
"4","Alexander Bublik",0.52,0.759087669280114,0.41967569917585,0.455331412103746,0.170212765957447,1.65259515570934,0.0761047463175123,0.0686106346483705,0.580645161290323,22.17111567418,0.0998363338788871,1,73.68,97.76
"5","Alexander Zverev",0.636363636363636,0.74930206588498,0.327384019930546,0.441359773371105,0.133345801383954,1.44926199261993,0.080044884982233,0.1,0.595794392523365,22.1632339825333,0.0723770338507574,1,4.87878787878788,81.0151515151515
"6","Alexei Popyrin",0.333333333333333,0.711286089238845,0.396524409002242,0.503968253968254,0.115323854660348,1.58611825192802,0.0947867298578199,0.0665557404326123,0.666666666666667,20.0830481405556,0.0537124802527646,1,91.5555555555556,70.3333333333333
"7","Aljaz Bedene",0.527777777777778,0.737213403880071,0.428680779898912,0.497301464919044,0.110073382254837,1.41148094548963,0.0823882588392262,0.0777855641205326,0.615384615384615,29.8871397064278,0.0370246831220814,1,76.3055555555556,85.6571428571429
"8","Andreas Seppi",0.441860465116279,0.709478672985782,0.421570886157682,0.498694516971279,0.0752333882482153,1.51747958970065,0.0903349807797913,0.0790130302190186,0.583586626139818,35.1965999713465,0.0356946732564525,1,57.0232558139535,84.6976744186046
"9","Andrey Rublev",0.666666666666667,0.7469723183391,0.406455117096056,0.50844277673546,0.0856558424955254,1.55342044581091,0.07593965737663,0.104481188593338,0.626262626262626,21.7841660962863,0.041933009460496,1,53.7647058823529,76.6862745098039
"10","Antoine Hoang",0,0.58,0.404761904761905,0.382352941176471,0.0714285714285714,1.41463414634146,0.119047619047619,0.0666666666666667,0.3,23.7891854894,0.119047619047619,1,98,84
"11","Benoit Paire",0.516666666666667,0.774427480916031,0.48372279217508,0.452868852459016,0.11501976284585,1.60515841426524,0.0869565217391304,0.0894066109119873,0.611363636363636,30.08323066394,0.0790513833992095,1,41.6166666666667,84.3333333333333
"12","Bernard Tomic",0.230769230769231,0.65742251223491,0.343570036406438,0.45253164556962,0.10010764262648,1.79606625258799,0.104413347685684,0.0570719602977667,0.577319587628866,26.4613278576462,0.0204520990312164,1,84.2307692307692,71.4615384615385
"13","Borna Coric",0.553191489361702,0.739113530326594,0.369125598852851,0.529722589167767,0.0876162506118453,1.36141797197032,0.0753793441018111,0.0776792136178374,0.646103896103896,22.5350750724553,0.0281448849730788,1,14.468085106383,86.936170212766
"14","Bradley Klahn",0.1875,0.710594315245478,0.404588967344607,0.535645472061657,0.0974477958236659,1.50583179864948,0.0804331013147719,0.0387931034482759,0.653846153846154,28.7917522245063,0.0541376643464811,0,89.6875,80.8125
"15","Brayden Schnur",0,0.648760330578512,0.358521408563425,0.423357664233577,0.0606860158311346,1.51762114537445,0.121372031662269,0.0354838709677419,0.58695652173913,24.12210814512,0.0343007915567282,1,96.6,75.8
"16","Cameron Norrie",0.444444444444444,0.68276473194506,0.34096341358541,0.480607082630691,0.0601219866395585,1.49527576356845,0.0970084228870171,0.0806067816775729,0.622754491017964,23.74373716632,0.0453093232645948,0,61.1111111111111,76.5111111111111
